Invoice ID,Branch,City,Customer Type,Gender,Product Line,Unit Price,Quantity,Tax 5%,Total,Date,Time,Payment,COGS,Gross Margin Percentage,Gross Income,Rating
INV-100050,A,Yangon,Member,Female,Fashion accessories,264.47,2,26.45,555.39,2023-05-11,10:08,Ewallet,528.94,4.76,26.45,9.1
INV-100051,C,Naypyitaw,Member,Female,Sports and travel,344.88,2,34.49,724.25,2023-08-16,15:10,Credit card,689.76,4.76,34.49,6.6
INV-100052,C,Naypyitaw,Normal,Female,Health and beauty,454.9,4,90.98,1910.58,2023-03-03,19:18,Credit card,1819.6,4.76,90.98,5.5
INV-100053,C,Naypyitaw,Normal,Male,Health and beauty,281.89,4,56.38,1183.94,2023-09-28,19:38,Cash,1127.56,4.76,56.38,9.0
INV-100054,A,Yangon,Member,Female,Home and lifestyle,90.56,3,13.58,285.26,2023-10-05,18:48,Credit card,271.68,4.76,13.58,9.0
INV-100055,B,Mandalay,Normal,Female,Sports and travel,396.59,3,59.49,1249.26,2023-10-07,10:49,Cash,1189.77,4.76,59.49,7.4
INV-100056,B,Mandalay,Member,Male,Food and beverages,106.39,2,10.64,223.42,2023-01-13,13:43,Ewallet,212.78,4.76,10.64,9.8
INV-100057,A,Yangon,Normal,Female,Food and beverages,42.22,6,12.67,265.99,2023-10-21,19:22,Ewallet,253.32,4.76,12.67,5.9
INV-100058,A,Yangon,Normal,Female,Home and lifestyle,223.95,8,89.58,1881.18,2023-06-29,21:46,Ewallet,1791.6,4.76,89.58,7.4
INV-100059,A,Yangon,Member,Male,Home and lifestyle,325.6,7,113.96,2393.16,2023-07-15,19:38,Ewallet,2279.2,4.76,113.96,9.3
INV-100060,C,Naypyitaw,Normal,Female,Fashion accessories,257.93,8,103.17,2166.61,2023-11-04,11:28,Ewallet,2063.44,4.76,103.17,8.0
INV-100061,A,Yangon,Normal,Female,Sports and travel,182.91,1,9.15,192.06,2023-12-14,14:55,Ewallet,182.91,4.76,9.15,7.5
INV-100062,C,Naypyitaw,Member,Female,Fashion accessories,351.25,2,35.12,737.62,2023-09-10,09:26,Ewallet,702.5,4.76,35.12,7.8
INV-100063,C,Naypyitaw,Member,Male,Food and beverages,390.53,7,136.69,2870.4,2023-05-19,09:22,Credit card,2733.71,4.76,136.69,8.8
INV-100064,B,Mandalay,Member,Female,Home and lifestyle,437.6,9,196.92,4135.32,2023-06-05,16:10,Credit card,3938.4,4.76,196.92,7.1
INV-100065,B,Mandalay,Member,Female,Health and beauty,257.59,10,128.8,2704.7,2023-08-05,19:28,Cash,2575.9,4.76,128.8,5.0
INV-100066,C,Naypyitaw,Normal,Female,Electronic accessories,473.33,2,47.33,993.99,2023-07-25,17:13,Cash,946.66,4.76,47.33,9.3
INV-100067,B,Mandalay,Normal,Female,Food and beverages,38.93,9,17.52,367.89,2023-12-04,17:47,Cash,350.37,4.76,17.52,5.0
INV-100068,C,Naypyitaw,Normal,Male,Sports and travel,368.87,9,165.99,3485.82,2023-05-19,17:25,Cash,3319.83,4.76,165.99,6.9
INV-100069,B,Mandalay,Normal,Male,Fashion accessories,434.03,6,130.21,2734.39,2023-04-24,09:54,Ewallet,2604.18,4.76,130.21,6.4
INV-100070,B,Mandalay,Member,Male,Fashion accessories,466.9,4,93.38,1960.98,2023-05-18,20:10,Ewallet,1867.6,4.76,93.38,6.7
INV-100071,C,Naypyitaw,Member,Male,Electronic accessories,78.35,5,19.59,411.34,2023-08-24,20:28,Credit card,391.75,4.76,19.59,5.9
INV-100072,B,Mandalay,Normal,Male,Health and beauty,124.04,4,24.81,520.97,2023-12-15,12:25,Credit card,496.16,4.76,24.81,7.0
INV-100073,A,Yangon,Member,Male,Fashion accessories,477.88,1,23.89,501.77,2023-01-29,09:31,Ewallet,477.88,4.76,23.89,7.2
INV-100074,C,Naypyitaw,Normal,Female,Health and beauty,482.24,10,241.12,5063.52,2023-08-15,18:44,Cash,4822.4,4.76,241.12,4.6
INV-100075,B,Mandalay,Member,Male,Electronic accessories,120.44,8,48.18,1011.7,2023-07-13,13:29,Ewallet,963.52,4.76,48.18,7.5
INV-100076,A,Yangon,Normal,Male,Electronic accessories,228.59,5,57.15,1200.1,2023-06-19,10:02,Cash,1142.95,4.76,57.15,8.8
INV-100077,B,Mandalay,Normal,Male,Sports and travel,163.19,7,57.12,1199.45,2023-10-25,11:56,Ewallet,1142.33,4.76,57.12,4.9
INV-100078,A,Yangon,Member,Female,Home and lifestyle,12.51,3,1.88,39.41,2023-12-07,11:05,Credit card,37.53,4.76,1.88,7.9
INV-100079,B,Mandalay,Member,Male,Health and beauty,453.51,1,22.68,476.19,2023-10-02,13:49,Cash,453.51,4.76,22.68,6.6
INV-100080,A,Yangon,Member,Female,Sports and travel,18.67,3,2.8,58.81,2023-05-23,14:40,Credit card,56.01,4.76,2.8,9.8
INV-100081,C,Naypyitaw,Member,Female,Sports and travel,319.63,4,63.93,1342.45,2023-01-31,18:44,Ewallet,1278.52,4.76,63.93,7.8
INV-100082,A,Yangon,Member,Female,Fashion accessories,453.0,9,203.85,4280.85,2023-07-31,10:45,Credit card,4077.0,4.76,203.85,8.5
INV-100083,C,Naypyitaw,Member,Male,Electronic accessories,486.32,2,48.63,1021.27,2023-05-09,09:58,Cash,972.64,4.76,48.63,9.1
INV-100084,A,Yangon,Normal,Female,Health and beauty,31.14,2,3.11,65.39,2023-09-20,14:02,Cash,62.28,4.76,3.11,7.2
INV-100085,B,Mandalay,Normal,Male,Fashion accessories,333.81,7,116.83,2453.5,2023-12-29,17:17,Cash,2336.67,4.76,116.83,5.5
INV-100086,B,Mandalay,Member,Female,Home and lifestyle,47.46,1,2.37,49.83,2023-07-16,20:08,Credit card,47.46,4.76,2.37,8.8
INV-100087,A,Yangon,Normal,Male,Food and beverages,428.65,5,107.16,2250.41,2023-02-18,17:13,Credit card,2143.25,4.76,107.16,9.5
INV-100088,C,Naypyitaw,Member,Male,Fashion accessories,392.89,10,196.45,4125.35,2023-09-04,16:33,Ewallet,3928.9,4.76,196.45,8.3
INV-100089,C,Naypyitaw,Normal,Male,Electronic accessories,352.14,9,158.46,3327.72,2023-01-16,14:24,Ewallet,3169.26,4.76,158.46,5.9
INV-100090,B,Mandalay,Member,Female,Fashion accessories,175.96,10,87.98,1847.58,2023-02-03,17:20,Credit card,1759.6,4.76,87.98,5.8
INV-100091,B,Mandalay,Member,Male,Electronic accessories,139.97,9,62.99,1322.72,2023-09-14,14:58,Ewallet,1259.73,4.76,62.99,6.0
INV-100092,B,Mandalay,Normal,Female,Home and lifestyle,288.69,8,115.48,2425.0,2023-05-24,20:24,Cash,2309.52,4.76,115.48,9.5
INV-100093,A,Yangon,Normal,Male,Fashion accessories,71.62,9,32.23,676.81,2023-09-09,18:47,Credit card,644.58,4.76,32.23,6.2
INV-100094,C,Naypyitaw,Normal,Male,Health and beauty,188.22,5,47.06,988.16,2023-08-26,11:16,Ewallet,941.1,4.76,47.06,5.3
INV-100095,A,Yangon,Member,Male,Food and beverages,453.87,3,68.08,1429.69,2023-07-30,19:17,Ewallet,1361.61,4.76,68.08,4.6
INV-100096,B,Mandalay,Member,Male,Electronic accessories,38.05,10,19.03,399.53,2023-09-27,19:53,Cash,380.5,4.76,19.03,7.1
INV-100097,B,Mandalay,Normal,Male,Electronic accessories,15.82,6,4.75,99.67,2023-09-07,18:31,Cash,94.92,4.76,4.75,6.6
INV-100098,C,Naypyitaw,Member,Female,Sports and travel,186.74,4,37.35,784.31,2023-09-04,12:00,Ewallet,746.96,4.76,37.35,7.2
INV-100099,B,Mandalay,Normal,Female,Health and beauty,259.57,8,103.83,2180.39,2023-02-09,14:54,Credit card,2076.56,4.76,103.83,4.0
INV-100100,B,Mandalay,Member,Female,Food and beverages,349.52,1,17.48,367.0,2023-10-04,20:20,Ewallet,349.52,4.76,17.48,7.9
INV-100101,C,Naypyitaw,Normal,Female,Sports and travel,144.84,7,50.69,1064.57,2023-10-05,13:08,Ewallet,1013.88,4.76,50.69,6.7
INV-100102,A,Yangon,Member,Female,Fashion accessories,277.25,3,41.59,873.34,2023-05-10,19:36,Cash,831.75,4.76,41.59,6.2
INV-100103,B,Mandalay,Member,Male,Sports and travel,144.37,1,7.22,151.59,2023-02-16,13:29,Credit card,144.37,4.76,7.22,8.8
INV-100104,B,Mandalay,Normal,Female,Health and beauty,319.74,8,127.9,2685.82,2023-06-22,16:22,Cash,2557.92,4.76,127.9,6.5
INV-100105,A,Yangon,Member,Female,Sports and travel,497.53,5,124.38,2612.03,2023-07-08,13:32,Credit card,2487.65,4.76,124.38,8.4
INV-100106,C,Naypyitaw,Member,Female,Sports and travel,140.47,6,42.14,884.96,2023-09-06,20:27,Cash,842.82,4.76,42.14,4.4
INV-100107,A,Yangon,Member,Female,Electronic accessories,483.42,4,96.68,2030.36,2023-01-14,16:49,Cash,1933.68,4.76,96.68,6.4
INV-100108,C,Naypyitaw,Normal,Male,Food and beverages,97.78,1,4.89,102.67,2023-02-15,12:34,Credit card,97.78,4.76,4.89,6.1
INV-100109,C,Naypyitaw,Normal,Male,Home and lifestyle,484.95,2,48.5,1018.4,2023-10-11,19:17,Cash,969.9,4.76,48.5,6.9
INV-100110,C,Naypyitaw,Member,Female,Health and beauty,429.63,4,85.93,1804.45,2023-12-13,19:28,Credit card,1718.52,4.76,85.93,8.1
INV-100111,B,Mandalay,Normal,Male,Electronic accessories,453.01,2,45.3,951.32,2023-11-07,15:39,Ewallet,906.02,4.76,45.3,5.2
INV-100112,C,Naypyitaw,Normal,Male,Food and beverages,132.52,9,59.63,1252.31,2023-05-28,14:55,Credit card,1192.68,4.76,59.63,4.6
INV-100113,C,Naypyitaw,Normal,Female,Health and beauty,330.35,5,82.59,1734.34,2023-01-29,12:32,Credit card,1651.75,4.76,82.59,5.6
INV-100114,A,Yangon,Member,Female,Food and beverages,208.76,3,31.31,657.59,2023-05-12,19:38,Cash,626.28,4.76,31.31,7.2
INV-100115,C,Naypyitaw,Normal,Female,Fashion accessories,257.14,7,90.0,1889.98,2023-05-19,13:17,Credit card,1799.98,4.76,90.0,5.3
INV-100116,B,Mandalay,Member,Male,Fashion accessories,301.51,4,60.3,1266.34,2023-06-23,18:44,Credit card,1206.04,4.76,60.3,7.2
INV-100117,A,Yangon,Member,Male,Home and lifestyle,254.45,9,114.5,2404.55,2023-12-20,18:31,Credit card,2290.05,4.76,114.5,6.0
INV-100118,A,Yangon,Member,Male,Food and beverages,444.19,5,111.05,2332.0,2023-04-26,11:43,Cash,2220.95,4.76,111.05,5.4
INV-100119,A,Yangon,Normal,Male,Health and beauty,253.99,5,63.5,1333.45,2023-08-05,13:52,Ewallet,1269.95,4.76,63.5,5.3
INV-100120,C,Naypyitaw,Normal,Male,Health and beauty,116.13,6,34.84,731.62,2023-05-18,14:22,Cash,696.78,4.76,34.84,4.7
INV-100121,A,Yangon,Member,Male,Fashion accessories,342.2,1,17.11,359.31,2023-06-27,10:19,Credit card,342.2,4.76,17.11,5.5
INV-100122,C,Naypyitaw,Member,Female,Home and lifestyle,29.63,1,1.48,31.11,2023-02-10,20:40,Ewallet,29.63,4.76,1.48,5.5
INV-100123,C,Naypyitaw,Normal,Male,Home and lifestyle,167.77,1,8.39,176.16,2023-09-21,21:50,Ewallet,167.77,4.76,8.39,8.3
INV-100124,A,Yangon,Member,Female,Food and beverages,305.05,5,76.26,1601.51,2023-07-27,15:34,Credit card,1525.25,4.76,76.26,5.8
INV-100125,A,Yangon,Member,Male,Electronic accessories,318.2,9,143.19,3006.99,2023-03-10,12:13,Credit card,2863.8,4.76,143.19,5.6
INV-100126,A,Yangon,Normal,Female,Electronic accessories,128.95,5,32.24,676.99,2023-09-29,15:45,Cash,644.75,4.76,32.24,8.5
INV-100127,A,Yangon,Member,Female,Sports and travel,328.94,9,148.02,3108.48,2023-07-05,19:08,Cash,2960.46,4.76,148.02,4.4
INV-100128,C,Naypyitaw,Normal,Female,Home and lifestyle,75.25,4,15.05,316.05,2023-09-05,11:09,Credit card,301.0,4.76,15.05,9.0
INV-100129,B,Mandalay,Normal,Female,Fashion accessories,63.34,10,31.67,665.07,2023-03-16,19:51,Ewallet,633.4,4.76,31.67,7.6
INV-100130,A,Yangon,Member,Female,Fashion accessories,270.95,1,13.55,284.5,2023-11-26,17:56,Cash,270.95,4.76,13.55,6.8
INV-100131,B,Mandalay,Normal,Female,Sports and travel,301.29,7,105.45,2214.48,2023-05-22,18:29,Cash,2109.03,4.76,105.45,4.6
INV-100132,A,Yangon,Member,Male,Food and beverages,324.81,1,16.24,341.05,2023-01-22,17:48,Credit card,324.81,4.76,16.24,7.3
INV-100133,C,Naypyitaw,Member,Male,Health and beauty,454.95,6,136.48,2866.18,2023-08-31,17:22,Cash,2729.7,4.76,136.48,4.7
INV-100134,A,Yangon,Normal,Female,Fashion accessories,458.59,6,137.58,2889.12,2023-08-05,19:57,Cash,2751.54,4.76,137.58,7.7
INV-100135,B,Mandalay,Normal,Male,Fashion accessories,191.27,5,47.82,1004.17,2023-06-24,18:33,Cash,956.35,4.76,47.82,4.3
INV-100136,C,Naypyitaw,Normal,Female,Fashion accessories,61.18,9,27.53,578.15,2023-03-30,10:37,Cash,550.62,4.76,27.53,6.9
INV-100137,A,Yangon,Member,Male,Electronic accessories,194.7,3,29.21,613.31,2023-07-23,14:21,Ewallet,584.1,4.76,29.21,5.5
INV-100138,C,Naypyitaw,Normal,Male,Sports and travel,233.35,8,93.34,1960.14,2023-07-09,16:25,Ewallet,1866.8,4.76,93.34,4.7
INV-100139,B,Mandalay,Member,Female,Sports and travel,463.75,3,69.56,1460.81,2023-03-18,10:51,Cash,1391.25,4.76,69.56,7.9
INV-100140,A,Yangon,Normal,Male,Electronic accessories,232.1,7,81.24,1705.94,2023-12-08,17:52,Cash,1624.7,4.76,81.24,9.7
INV-100141,A,Yangon,Normal,Male,Food and beverages,234.89,4,46.98,986.54,2023-10-03,21:15,Credit card,939.56,4.76,46.98,9.4
INV-100142,C,Naypyitaw,Member,Male,Sports and travel,93.63,4,18.73,393.25,2023-02-08,18:01,Ewallet,374.52,4.76,18.73,5.3
INV-100143,A,Yangon,Member,Male,Sports and travel,398.23,9,179.2,3763.27,2023-04-08,21:29,Cash,3584.07,4.76,179.2,7.4
INV-100144,A,Yangon,Normal,Male,Food and beverages,196.56,9,88.45,1857.49,2023-02-18,12:49,Cash,1769.04,4.76,88.45,4.1
INV-100145,B,Mandalay,Member,Female,Food and beverages,235.88,7,82.56,1733.72,2023-03-27,19:28,Ewallet,1651.16,4.76,82.56,8.8
INV-100146,C,Naypyitaw,Normal,Male,Sports and travel,87.97,7,30.79,646.58,2023-12-24,13:23,Cash,615.79,4.76,30.79,5.6
INV-100147,B,Mandalay,Normal,Female,Electronic accessories,423.2,10,211.6,4443.6,2023-02-12,13:16,Credit card,4232.0,4.76,211.6,6.1
INV-100148,B,Mandalay,Member,Female,Electronic accessories,284.91,1,14.25,299.16,2023-03-18,12:04,Ewallet,284.91,4.76,14.25,7.2
INV-100149,A,Yangon,Member,Female,Sports and travel,273.79,4,54.76,1149.92,2023-10-23,20:12,Cash,1095.16,4.76,54.76,7.8
INV-100150,A,Yangon,Normal,Female,Sports and travel,80.77,1,4.04,84.81,2023-01-16,19:08,Ewallet,80.77,4.76,4.04,7.6
INV-100151,C,Naypyitaw,Normal,Male,Home and lifestyle,271.56,2,27.16,570.28,2023-05-04,12:42,Ewallet,543.12,4.76,27.16,9.9
INV-100152,B,Mandalay,Normal,Male,Home and lifestyle,375.78,3,56.37,1183.71,2023-04-26,16:34,Credit card,1127.34,4.76,56.37,4.5
INV-100153,B,Mandalay,Normal,Male,Food and beverages,108.37,8,43.35,910.31,2023-01-12,14:48,Credit card,866.96,4.76,43.35,5.5
INV-100154,A,Yangon,Member,Male,Health and beauty,30.77,6,9.23,193.85,2023-03-23,15:40,Ewallet,184.62,4.76,9.23,5.5
INV-100155,A,Yangon,Member,Female,Fashion accessories,254.6,7,89.11,1871.31,2023-03-04,17:08,Ewallet,1782.2,4.76,89.11,7.5
INV-100156,C,Naypyitaw,Normal,Female,Food and beverages,6.8,2,0.68,14.28,2023-04-14,18:14,Credit card,13.6,4.76,0.68,4.2
INV-100157,A,Yangon,Member,Female,Home and lifestyle,337.43,9,151.84,3188.71,2023-09-15,21:42,Credit card,3036.87,4.76,151.84,6.4
INV-100158,B,Mandalay,Member,Female,Health and beauty,53.38,3,8.01,168.15,2023-04-06,16:13,Credit card,160.14,4.76,8.01,8.9
INV-100159,C,Naypyitaw,Member,Male,Fashion accessories,412.06,6,123.62,2595.98,2023-05-05,20:02,Credit card,2472.36,4.76,123.62,9.0
INV-100160,A,Yangon,Member,Female,Food and beverages,478.65,10,239.33,5025.83,2023-09-15,14:12,Cash,4786.5,4.76,239.33,6.2
INV-100161,C,Naypyitaw,Member,Female,Health and beauty,490.83,2,49.08,1030.74,2023-06-24,18:11,Cash,981.66,4.76,49.08,9.1
INV-100162,B,Mandalay,Member,Female,Health and beauty,237.23,10,118.62,2490.92,2023-09-14,15:50,Ewallet,2372.3,4.76,118.62,9.1
INV-100163,C,Naypyitaw,Normal,Male,Food and beverages,154.14,5,38.54,809.24,2023-06-30,16:01,Credit card,770.7,4.76,38.54,5.8
INV-100164,C,Naypyitaw,Normal,Male,Food and beverages,162.07,3,24.31,510.52,2023-11-02,21:50,Credit card,486.21,4.76,24.31,6.5
INV-100165,C,Naypyitaw,Member,Male,Food and beverages,396.48,10,198.24,4163.04,2023-10-25,17:00,Cash,3964.8,4.76,198.24,9.4
INV-100166,B,Mandalay,Normal,Male,Sports and travel,466.78,9,210.05,4411.07,2023-01-18,19:05,Ewallet,4201.02,4.76,210.05,6.7
INV-100167,C,Naypyitaw,Member,Female,Home and lifestyle,459.96,9,206.98,4346.62,2023-01-02,12:09,Ewallet,4139.64,4.76,206.98,4.9
INV-100168,A,Yangon,Normal,Female,Home and lifestyle,204.97,9,92.24,1936.97,2023-08-04,18:23,Cash,1844.73,4.76,92.24,8.3
INV-100169,C,Naypyitaw,Normal,Male,Health and beauty,127.09,5,31.77,667.22,2023-07-23,20:10,Credit card,635.45,4.76,31.77,6.5
INV-100170,A,Yangon,Member,Male,Home and lifestyle,144.8,5,36.2,760.2,2023-05-01,20:30,Cash,724.0,4.76,36.2,8.4
INV-100171,B,Mandalay,Member,Female,Home and lifestyle,394.76,4,78.95,1657.99,2023-10-06,13:55,Ewallet,1579.04,4.76,78.95,4.8
INV-100172,B,Mandalay,Normal,Female,Fashion accessories,407.99,1,20.4,428.39,2023-01-15,11:56,Ewallet,407.99,4.76,20.4,4.2
INV-100173,C,Naypyitaw,Member,Male,Electronic accessories,352.52,9,158.63,3331.31,2023-08-06,10:37,Cash,3172.68,4.76,158.63,9.8
INV-100174,C,Naypyitaw,Member,Male,Home and lifestyle,65.61,5,16.4,344.45,2023-08-23,16:21,Ewallet,328.05,4.76,16.4,8.3
INV-100175,A,Yangon,Normal,Male,Electronic accessories,463.18,1,23.16,486.34,2023-01-08,13:57,Ewallet,463.18,4.76,23.16,4.2
INV-100176,A,Yangon,Member,Male,Food and beverages,383.53,2,38.35,805.41,2023-09-26,12:13,Credit card,767.06,4.76,38.35,5.7
INV-100177,B,Mandalay,Member,Male,Food and beverages,255.42,6,76.63,1609.15,2023-07-20,11:12,Ewallet,1532.52,4.76,76.63,7.7
INV-100178,C,Naypyitaw,Member,Female,Health and beauty,215.99,8,86.4,1814.32,2023-07-06,10:42,Ewallet,1727.92,4.76,86.4,7.5
INV-100179,C,Naypyitaw,Normal,Female,Health and beauty,476.34,7,166.72,3501.1,2023-12-29,19:26,Cash,3334.38,4.76,166.72,8.2
INV-100180,B,Mandalay,Normal,Female,Food and beverages,476.23,10,238.12,5000.42,2023-10-16,16:10,Credit card,4762.3,4.76,238.12,8.1
INV-100181,C,Naypyitaw,Normal,Female,Home and lifestyle,154.25,7,53.99,1133.74,2023-11-07,09:38,Cash,1079.75,4.76,53.99,8.7
INV-100182,B,Mandalay,Normal,Male,Fashion accessories,446.49,4,89.3,1875.26,2023-09-18,16:59,Credit card,1785.96,4.76,89.3,8.2
